filename,phone_label,start,end
FR-participant6_tutu_FR429.wav,y,0.43,0.6
FR-participant6_un_FR43.wav,ɛ̃,0.04,0.24
FR-participant6_veuve_FR436.wav,œ,0.14,0.39
FR-participant6_vin_FR447.wav,ɛ̃,0.15,0.31
FR-participant7_cette_FR3009.wav,ɛ,0.2,0.28
FR-participant7_ete_FR3007.wav,e,0.0,0.09
FR-participant7_ete_FR3007.wav,e,0.27,0.37
FR-participant7_faite_FR3010.wav,ɛ,0.12,0.21
FR-participant7_femme_FR3016.wav,a,0.09,0.19
FR-participant7_impair_FR3023.wav,ɛ̃,0.03,0.17
FR-participant7_journee_FR3008.wav,e,0.44,0.52
FR-participant7_mechant_FR3029.wav,ɑ̃,0.34,0.4
FR-participant7_meunier_FR3011.wav,ø,0.19,0.22
FR-participant7_papa_FR3015.wav,a,0.12,0.2
FR-participant7_papa_FR3015.wav,a,0.32,0.44
FR-participant7_pardon_FR3027.wav,ɔ̃,0.32,0.42
FR-participant7_parfum_FR3025.wav,ɛ̃,0.39,0.490063
FR-participant7_peau_FR3020.wav,o,0.19,0.34
FR-participant7_porte_FR3021.wav,ɔ,0.16,0.2
FR-participant7_queue_FR3012.wav,ø,0.11,0.28
FR-participant7_rideau_FR3019.wav,o,0.3,0.41
FR-participant7_roule_FR3018.wav,u,0.1,0.19
FR-participant7_soeur_FR3014.wav,œ,0.22,0.38
FR-participant7_son_FR3028.wav,ɔ̃,0.14,0.28
FR-participant7_sort_FR3022.wav,ɔ,0.15,0.23
FR-participant7_temps_FR3030.wav,ɑ̃,0.1,0.24
FR-participant7_tique_FR3004.wav,i,0.2,0.32
FR-participant7_toujours_FR3017.wav,u,0.15,0.22
FR-participant7_toujours_FR3017.wav,u,0.35,0.4
FR-participant7_tutu_FR3006.wav,y,0.13,0.22
FR-participant7_tutu_FR3006.wav,y,0.39,0.52
FR-participant7_un_FR3026.wav,ɛ̃,0.04,0.22
FR-participant7_veuve_FR3013.wav,œ,0.2,0.3
FR-participant7_vin_FR3024.wav,ɛ̃,0.14,0.28
FR-participant8_cette_FR4291.wav,ɛ,0.25,0.43
FR-participant8_ete_FR4289.wav,e,0.0,0.2
FR-participant8_ete_FR4289.wav,e,0.26,0.52
FR-participant8_faite_FR4292.wav,ɛ,0.25,0.43
FR-participant8_femme_FR4298.wav,a,0.24,0.38
FR-participant8_fils_FR4287.wav,i,0.18,0.29
FR-participant8_impair_FR4548.wav,ɛ̃,0.03,0.17
FR-participant8_journee_FR4290.wav,e,0.43,0.68
FR-participant8_mechant_FR4554.wav,ɑ̃,0.43,0.62
FR-participant8_meunier_FR4293.wav,ø,0.2,0.27
FR-participant8_papa_FR4297.wav,a,0.06,0.14
FR-participant8_papa_FR4297.wav,a,0.27,0.54
FR-participant8_pardon_FR4552.wav,ɔ̃,0.31,0.52
FR-participant8_parfum_FR4550.wav,ɛ̃,0.31,0.53
FR-participant8_peau_FR4545.wav,o,0.06,0.44
FR-participant8_porte_FR4546.wav,ɔ,0.05,0.15
FR-participant8_queue_FR4294.wav,ø,0.08,0.35
FR-participant8_rideau_FR4544.wav,o,0.42,0.69
FR-participant8_roule_FR4543.wav,u,0.24,0.37
FR-participant8_soeur_FR4296.wav,œ,0.28,0.54
FR-participant8_son_FR4553.wav,ɔ̃,0.29,0.55
